date,confirmed,confirmed_total,death_total,discharged,discharged_total
2020-03-02,0,2,0,0,0
2020-03-06,0,4,0,0,0
2020-03-08,0,6,0,0,0
2020-03-09,13,19,0,0,0
2020-03-10,8,27,0,2,2
2020-03-11,7,34,1,0,2
2020-03-12,0,34,1,3,5
2020-03-13,35,69,4,0,5
2020-03-14,27,96,5,3,8
2020-03-15,21,117,5,0,8
2020-03-16,17,134,5,0,8
2020-03-17,38,172,7,1,9
2020-03-18,55,227,19,2,11
2020-03-19,81,308,25,4,15
2020-03-20,61,369,32,2,17
2020-03-21,81,450,38,3,20
2020-03-22,64,514,48,9,29
2020-03-23,65,579,49,1,30
2020-03-24,107,686,55,0,30
2020-03-25,104,790,58,1,31
2020-03-26,103,893,78,4,35
2020-03-27,153,1046,87,11,46
2020-03-28,109,1155,102,13,59
2020-03-29,130,1285,114,5,64
