date,confirmed,confirmed_total,death_total,discharged,discharged_total
2020-01-24,0,3,0,0,0
2020-01-25,1,4,0,0,0
2020-01-26,0,4,0,0,0
2020-01-27,2,6,0,0,0
2020-01-28,2,8,0,0,0
2020-02-03,0,9,0,0,0
2020-02-04,3,12,0,1,1
2020-02-05,2,14,0,0,1
2020-02-06,0,14,0,0,1
2020-02-07,1,15,0,0,1
2020-02-08,1,16,0,1,2
2020-02-09,2,18,0,1,3
2020-02-12,0,19,0,0,3
2020-02-13,0,19,0,0,3
2020-02-14,2,21,0,4,7
2020-02-15,0,21,0,0,7
2020-02-16,1,22,0,1,8
2020-02-17,0,22,0,1,9
2020-02-18,0,22,0,4,13
2020-02-19,0,22,0,4,17
2020-02-23,0,22,0,0,18
2020-02-24,0,22,0,2,20
2020-02-27,0,24,0,0,22
2020-02-28,1,25,0,0,22
2020-02-29,4,29,0,0,22
2020-03-01,0,29,0,0,22
2020-03-02,4,33,0,0,22
2020-03-03,3,36,0,0,22
2020-03-04,14,50,0,0,22
2020-03-05,5,55,0,0,22
2020-03-06,28,83,0,1,23
2020-03-07,10,93,0,2,25
2020-03-08,6,99,0,0,25
2020-03-09,19,118,0,1,26
2020-03-10,12,130,0,0,26
2020-03-11,19,149,0,1,27
2020-03-12,9,158,0,6,33
2020-03-13,42,200,0,0,33
2020-03-14,42,242,0,3,36
2020-03-15,186,428,0,6,42
2020-03-16,125,553,0,0,42
2020-03-17,120,673,2,7,49
2020-03-18,117,790,2,11,60
2020-03-19,110,900,2,15,75
2020-03-20,130,1030,3,12,87
2020-03-21,153,1183,8,27,114
2020-03-22,123,1306,11,25,139
2020-03-23,212,1518,14,20,159
2020-03-24,106,1624,16,24,183
2020-03-25,172,1796,20,16,199
2020-03-26,235,2031,24,16,215
2020-03-27,130,2161,26,44,259
2020-03-28,159,2320,27,61,320
2020-03-29,150,2470,35,68,388
2020-03-30,156,2626,37,91,479
2020-03-31,140,2766,43,58,537
2020-04-01,142,2908,45,108,645
2020-04-02,208,3116,50,122,767
2020-04-03,217,3333,53,60,827
2020-04-04,150,3483,57,88,915
2020-04-05,179,3662,61,90,1005
2020-04-06,131,3793,62,236,1241
2020-04-07,170,3963,63,80,1321
2020-04-08,156,4119,65,166,1487
2020-04-09,109,4228,67,121,1608
2020-04-10,118,4346,70,222,1830
2020-04-11,184,4530,73,165,1995
2020-04-12,153,4683,76,113,2108
2020-04-13,134,4817,77,168,2276
2020-04-14,170,4987,82,202,2478
2020-04-15,85,5072,83,169,2647
2020-04-16,110,5182,84,119,2766
2020-04-17,69,5251,86,201,2967
2020-04-18,54,5305,88,135,3102
2020-04-19,84,5389,89,95,3197
2020-04-20,36,5425,89,98,3295
2020-04-21,57,5482,92,54,3349
2020-04-22,50,5532,93,103,3452
2020-04-23,71,5603,95,90,3542
2020-04-24,88,5691,96,121,3663
2020-04-25,51,5742,98,99,3762
2020-04-26,38,5780,98,100,3862
2020-04-27,40,5820,99,95,3957
2020-04-28,31,5851,100,75,4032
2020-04-29,94,5945,100,55,4087
2020-04-30,57,6002,102,84,4171
