date,confirmed,confirmed_total,death_total,discharged,discharged_total
2020-01-30,0,1,0,0,0
2020-02-02,0,2,1,0,0
2020-02-05,0,3,1,0,1
2020-02-10,0,3,1,0,2
2020-03-05,0,5,1,0,2
2020-03-07,0,6,1,0,2
2020-03-08,4,10,1,0,2
2020-03-09,14,24,1,0,2
2020-03-10,9,33,1,0,2
2020-03-11,16,49,2,0,2
2020-03-12,3,52,5,0,2
2020-03-13,12,64,6,0,2
2020-03-14,47,111,8,0,2
2020-03-15,29,140,12,0,2
2020-03-16,2,142,12,1,3
2020-03-17,45,187,14,1,4
2020-03-18,15,202,17,3,7
2020-03-19,15,217,17,1,8
2020-03-20,13,230,18,0,8
2020-03-21,77,307,19,5,13
2020-03-22,73,380,25,4,17
2020-03-23,82,462,33,1,18
2020-03-24,90,552,35,2,20
2020-03-25,84,636,38,6,26
2020-03-26,71,707,45,2,28
2020-03-27,96,803,54,3,31
2020-03-28,272,1075,68,4,35
2020-03-29,343,1418,71,7,42
2020-03-30,128,1546,78,0,42
2020-03-31,538,2084,88,7,49
2020-04-01,227,2311,96,1,50
2020-04-02,322,2633,107,1,51
2020-04-03,385,3018,136,1,52
2020-04-04,76,3094,144,5,57
2020-04-05,152,3246,152,7,64
2020-04-06,414,3660,163,9,73
2020-04-07,104,3764,177,11,84
2020-04-08,106,3870,182,12,96
2020-04-09,206,4076,203,28,124
2020-04-10,119,4195,221,16,140
2020-04-11,233,4428,247,17,157
2020-04-12,220,4648,297,40,197
2020-04-13,284,4932,315,45,242
2020-04-14,291,5223,335,53,295
2020-04-15,230,5453,349,58,353
2020-04-16,207,5660,362,82,435
2020-04-17,218,5878,387,52,487
2020-04-18,209,6087,397,29,516
2020-04-19,172,6259,409,56,572
2020-04-20,200,6459,428,41,613
2020-04-21,140,6599,437,38,651
2020-04-22,111,6710,446,42,693
2020-04-23,271,6981,462,29,722
2020-04-24,211,7192,477,40,762
2020-04-25,102,7294,494,30,792
2020-04-26,285,7579,501,70,862
2020-04-27,198,7777,511,70,932
2020-04-28,181,7958,530,43,975
2020-04-29,254,8212,558,48,1023
2020-04-30,276,8488,568,20,1043
