date,confirmed,confirmed_total,death_total,discharged,discharged_total
2020-01-13,0,1,0,0,0
2020-01-17,0,2,0,0,0
2020-01-22,0,4,0,0,0
2020-01-23,0,4,0,0,0
2020-01-24,1,5,0,0,0
2020-01-25,1,6,0,0,0
2020-01-26,2,8,0,5,5
2020-01-27,0,8,0,0,5
2020-01-28,6,14,0,0,5
2020-01-29,0,14,0,0,5
2020-01-30,0,14,0,1,6
2020-01-31,5,19,0,1,7
2020-02-01,0,19,0,0,7
2020-02-02,0,19,0,1,8
2020-02-03,0,19,0,0,8
2020-02-04,0,19,0,1,9
2020-02-05,6,25,0,0,9
2020-02-09,0,32,0,0,10
2020-02-10,0,32,0,0,10
2020-02-11,1,33,0,0,10
2020-02-12,0,33,0,0,10
2020-02-13,0,33,0,2,12
2020-02-16,0,34,0,0,15
2020-02-17,1,35,0,0,15
2020-02-20,0,35,0,0,17
2020-02-21,0,35,0,2,19
2020-02-22,0,35,0,1,20
2020-02-23,0,35,0,1,21
2020-02-24,0,35,0,0,21
2020-02-25,2,37,0,1,22
2020-02-26,3,40,0,2,24
2020-02-27,0,40,0,0,24
2020-02-28,0,40,0,4,28
2020-02-29,0,40,0,0,28
2020-03-01,2,42,1,2,30
2020-03-02,1,43,1,1,31
2020-03-05,0,47,1,0,31
2020-03-06,1,48,1,0,31
2020-03-07,2,50,1,0,31
2020-03-08,0,50,1,2,33
2020-03-09,0,50,1,0,33
2020-03-10,3,53,1,0,33
2020-03-11,6,59,1,1,34
2020-03-12,11,70,1,1,35
2020-03-13,5,75,1,0,35
2020-03-14,7,82,1,0,35
2020-03-15,32,114,1,2,37
2020-03-16,33,147,1,1,38
2020-03-17,30,177,1,3,41
2020-03-18,35,212,1,1,42
2020-03-19,60,272,1,0,42
2020-03-20,50,322,1,1,43
2020-03-21,89,411,1,0,43
2020-03-22,188,599,1,1,44
2020-03-23,122,721,1,8,52
2020-03-24,106,827,4,5,57
2020-03-25,107,934,4,13,70
2020-03-26,111,1045,4,18,88
2020-03-27,91,1136,5,9,97
2020-03-28,109,1245,6,0,97
2020-03-29,143,1388,7,4,101
2020-03-30,136,1524,9,26,127
2020-03-31,127,1651,10,215,342
