date,confirmed,confirmed_total,death_total,discharged,discharged_total
2020-01-23,0,2,0,0,0
2020-01-28,0,2,0,0,1
2020-01-31,0,5,0,0,1
2020-02-01,1,6,0,0,1
2020-02-02,1,7,0,0,1
2020-02-03,1,8,0,1,2
2020-02-04,2,10,0,1,3
2020-02-05,0,10,0,0,3
2020-02-06,2,12,0,0,3
2020-02-07,1,13,0,0,3
2020-02-08,0,13,0,0,3
2020-02-09,1,14,0,0,3
2020-02-10,0,14,0,3,6
2020-02-11,1,15,0,0,6
2020-02-12,0,15,0,1,7
2020-02-13,1,16,0,0,7
2020-02-18,0,16,0,0,11
2020-02-19,0,16,0,3,14
2020-02-20,0,16,0,1,15
2020-02-26,0,16,0,0,16
2020-03-06,0,17,0,0,16
2020-03-07,3,20,0,0,16
2020-03-08,10,30,0,0,16
2020-03-09,1,31,0,0,16
2020-03-10,3,34,0,0,16
2020-03-11,4,38,0,0,16
2020-03-12,6,44,0,0,16
2020-03-13,3,47,0,0,16
2020-03-14,6,53,0,0,16
2020-03-15,4,57,0,0,16
2020-03-16,4,61,0,0,16
2020-03-17,5,66,0,0,16
2020-03-18,10,76,0,0,16
2020-03-19,9,85,0,0,16
2020-03-20,6,91,0,1,17
2020-03-21,3,94,0,0,17
2020-03-22,19,113,0,0,17
2020-03-23,10,123,0,0,17
2020-03-24,11,134,0,0,17
2020-03-25,7,141,0,0,17
2020-03-26,12,153,0,0,17
2020-03-27,10,163,0,3,20
2020-03-28,11,174,0,1,21
2020-03-29,14,188,0,4,25
2020-03-30,15,203,0,30,55
2020-03-31,4,207,0,3,58
2020-04-01,11,218,0,5,63
2020-04-02,9,227,0,12,75
2020-04-03,10,237,0,10,85
2020-04-04,3,240,0,5,90
2020-04-05,1,241,0,1,91
2020-04-06,4,245,0,4,95
2020-04-07,4,249,0,27,122
2020-04-08,2,251,0,4,126
2020-04-09,4,255,0,2,128
2020-04-10,2,257,0,16,144
2020-04-11,1,258,0,0,144
2020-04-12,2,260,0,0,144
2020-04-13,5,265,0,1,145
2020-04-14,1,266,0,24,169
2020-04-15,1,267,0,2,171
2020-04-16,1,268,0,6,177
2020-04-17,0,268,0,21,198
2020-04-18,0,268,0,3,201
2020-04-19,0,268,0,1,202
2020-04-20,0,268,0,12,214
2020-04-21,0,268,0,2,216
2020-04-22,0,268,0,7,223
2020-04-23,0,268,0,1,224
2020-04-24,2,270,0,1,225
2020-04-25,0,270,0,0,225
2020-05-03,0,271,0,0,225
2020-05-04,0,271,0,2,227
2020-05-05,0,271,0,11,238
2020-05-06,0,271,0,0,238
2020-05-07,17,288,0,1,239
2020-05-08,0,288,0,7,246
2020-05-10,0,288,0,0,246
2020-05-11,0,288,0,3,249
2020-05-12,0,288,0,3,252
2020-05-13,0,288,0,0,252
2020-05-14,0,288,0,8,260
2020-05-15,25,313,0,0,260
2020-05-16,5,318,0,0,260
2020-05-17,2,320,0,0,260
2020-05-18,4,324,0,3,263
2020-05-19,0,324,0,1,264
2020-05-20,0,324,0,0,264
2020-05-21,0,324,0,2,266
2020-05-22,0,324,0,1,267
2020-05-23,0,324,0,0,267
2020-05-24,1,325,0,0,267
2020-05-25,1,326,0,5,272
2020-05-26,1,327,0,0,272
2020-05-27,0,327,0,6,278
2020-05-29,0,327,0,0,279
2020-05-30,1,328,0,0,279
2020-05-31,0,328,0,0,279
2020-06-01,0,328,0,14,293
2020-06-02,0,328,0,5,298
2020-06-03,0,328,0,4,302
2020-06-04,0,328,0,0,302
2020-06-05,0,328,0,5,307
2020-06-06,1,329,0,0,307
2020-06-07,0,329,0,0,307
2020-06-08,2,331,0,9,316
